,Summary Tables,,,,,,,,,,,,,,,,,,,,
,All products,,,,,,,,,,,,,,,,,,,,
,,Year of MFN applied tariff,Binding coverage,Simple average,,Duty-free,,Non ad valorem duties,,Duties > 15 %,,Duties > 3 * AVG,,"Concessions
not yet
implemented
 in 2023",Maximum duty,,Number of distinct duty rates,,Coefficient of variation,,Number of MFN applied tariff lines
,Country/Territory,,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,
,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
646,Rwanda                                                                                                                                                ,2023,100,89.3,13.3,1.1,39.6,0,0.4,96.9,41,0,0.7,0,100,80,15,18,31,98,"5,959"
659,Saint Kitts and Nevis                                                                                                                                 ,,95.2,76.5,,0,,0,,95.1,,0.1,,0,250,,23,,26,,
662,Saint Lucia                                                                                                                                           ,,99.5,64.6,,0,,0,,99.5,,0.3,,0,250,,37,,46,,
670,Saint Vincent and the Grenadines                                                                                                                      ,2023,99.7,65.2,10.8,0,8.7,0,0.2,99.7,25.8,0.3,7.9,0,250,100,38,14,46,106,"7,127"
882,Samoa                                                                                                                                                 ,,100,21.3,,0,,0.5,,54.4,,0.1,,0,104,,22,,37,,
682,"Saudi Arabia, Kingdom of                                                                                                                              ",2023,100,11,6.2,6.9,10.2,1.3,1.7,1.3,1.2,0.2,1.2,0,883,883,25,23,148,329,"12,779"
686,Senegal                                                                                                                                               ,2023,100,30,12,0,1.7,0,0,99.8,38.6,0,0,0,30,35,2,5,2,61,"6,380"
892,Serbia                                                                                                                                                ,2023,,,7.3,,1.3,,0,,12.9,,5.7,,,30,,16,,96,"10,520"
690,Seychelles                                                                                                                                            ,2023,100,9.8,2.6,46.9,90.9,0,0.5,27.6,6.1,0.6,8.6,0,200,200,8,20,141,472,"6,118"
694,Sierra Leone                                                                                                                                          ,2023,100,47.3,12,0,1.7,0,0,100,38.6,0,0,0,80,35,7,5,13,61,"6,380"
702,Singapore                                                                                                                                             ,2023,72,8.8,0,17.3,100,0.5,0,0.4,0,0.4,0,0, > 1000,89,22,3,436,"4,340","11,414"
90,Solomon Islands                                                                                                                                       ,2022,100,78.6,9.6,0,0.5,1.3,1.6,96.3,0.6,0,0.5,0,593,182,19,27,22,135,"6,288"
706,Somalia                                                                                                                                               ,2023,,,15.6,,0,,0.8,,42.5,,0,,,35,,7,,58,"5,469"
710,South Africa                                                                                                                                          ,2023,93.8,19,7.6,14.2,60.6,0,2.5,38.3,20.1,3.3,9.1,0,597,636,58,103,129,161,"8,419"
728,South Sudan                                                                                                                                           ,2023,,,10.2,,0,,0,,12.9,,0,,,20,,5,,42,"5,682"
144,Sri Lanka                                                                                                                                             ,2023,40.5,32.3,8.4,0.2,52.1,0.6,14.7,27.7,30.5,0,1.6,0,175,437,22,178,63,173,"8,154"
740,Suriname                                                                                                                                              ,2023,27.5,18,10.4,1.4,4.5,0,0,21.5,24.7,0,6.1,0,40,50,17,10,52,93,"6,288"
756,Switzerland                                                                                                                                           ,2023,99.7,7,5.2,20.9,31.7,78.8,68.3,6.4,4.1,5.3,4,0, > 1000,962,810,987,362,467,"8,793"
158,Chinese Taipei                                                                                                                                        ,2023,100,6.8,6.5,30.3,31.3,1.2,1.2,8.5,8.7,4.5,7.5,0, > 1000, > 1000,158,141,236,238,"9,135"
762,Tajikistan                                                                                                                                            ,,100,7.9,,12.5,,0.4,,7.1,,0.7,,0,207,,29,,80,,
834,Tanzania                                                                                                                                              ,2023,14.1,120,14.1,0,38.2,0,1.5,14.1,42.1,0,0.6,0,120,100,1,23,0,97,"5,977"
764,Thailand                                                                                                                                              ,2023,76.9,26.6,9.8,4.9,37.1,18.6,6.8,64.4,21.8,1.1,14.8,0,806,226,146,99,82,146,"11,638"
626,Timor-Leste                                                                                                                                           ,2023,,,2.5,,0,,0.9,,0,,0.3,,,10,,3,,16,"5,950"
768,Togo                                                                                                                                                  ,2023,14.6,80,12,0,1.7,0,0,14.6,38.6,0,0,0,80,35,1,5,0,61,"6,380"
776,Tonga                                                                                                                                                 ,2023,100,17.6,10.7,0,20.7,0,0,52,6.7,0,0,0,20,20,4,5,14,68,"5,715"
780,Trinidad and Tobago                                                                                                                                   ,2023,100,55.7,8.2,1.5,66.1,0,0.4,94.9,26.3,0,10.2,0,156,100,16,36,37,151,"6,559"
788,Tunisia                                                                                                                                               ,2023,58,57.9,19.5,0,34.8,0,0.7,58,42.1,1.1,0,0,200,50,42,11,70,78,"17,088"
792,Türkiye                                                                                                                                               ,2023,50.5,28.9,16.2,2.9,19.6,0.1,1.3,29.2,33.4,2.9,6.9,0,225,225,294,361,119,154,"11,557"
800,Uganda                                                                                                                                                ,2023,16.6,72.9,15.6,0,38.8,0,1,16.6,42,0,2.5,0,80,277,5,18,18,106,"5,954"
804,Ukraine                                                                                                                                               ,2023,100,5.8,4.3,31.4,42.5,0.2,0.2,4,2.7,3.9,4.2,0,50,50,53,48,93,116,"11,007"
784,United Arab Emirates                                                                                                                                  ,2023,100,14.5,4.7,3.1,10.5,0,1.3,0.8,0.2,0.8,0.2,0,200,100,11,6,119,131,"7,848"
826,United Kingdom                                                                                                                                        ,2023,100,5.1,3.8,29.8,53,100,3.8,4.6,3.9,4.6,10.4,0,302,243,     .,293,170,182,"9,789"
840,United States of America                                                                                                                              ,2023,100,3.4,3.3,46.5,47.5,8.2,8.3,2.7,2.7,7.5,7.1,0,350,350,734,738,298,263,"11,960"
858,Uruguay                                                                                                                                               ,2023,100,31.5,10.1,0,15.2,0,0,98,32.1,0,0.3,0,55,35,19,19,23,77,"12,162"
548,Vanuatu                                                                                                                                               ,2023,100,40.1,9,3.4,27.3,0,0,96.3,10.8,0,5.7,0,210,75,16,13,29,98,"5,756"
862,"Venezuela, Bolivarian Republic of                                                                                                                     ",2023,100,36.5,13.8,0,4.9,0,0,99,36.8,2,0,0,135,40,44,17,41,71,"11,168"
704,Viet Nam                                                                                                                                              ,2023,100,11.7,9.4,13.9,36.4,0,0,27.4,23.8,4.1,6.6,0,200,135,51,37,113,126,"11,684"
887,Yemen                                                                                                                                                 ,,100,21.7,,0.1,,1.1,,88.1,,0.3,,0,100,,35,,40,,
894,Zambia                                                                                                                                                ,2023,17.5,106.7,14.6,0,24.4,0,2.8,17.5,34.7,0,0,0,125,98,7,23,32,84,"6,702"
716,Zimbabwe                                                                                                                                              ,,24.5,84.1,,3.4,,0.6,,15.3,,0,,0,150,,18,,90,,
