"Annex table 3. FDI instock, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,  0.0,  0.0,  20.0,  88.0,  141.0,  211.0,  301.1,  348.7,  393.7,  434.9,  246.8,  327.0,  360.2,  482.9,  836.6,1  020.4,1  392.0,2  693.3,2  868.5,3  257.8,3  254.9,4  399.1,4  303.3,3  930.7,4  295.4,4  336.5,4  985.2,6  742.3,7  663.5,8  188.0,9  608.2,9  786.2,11  103.6,13  984.7
Belarus,  0.0,  0.0,  7.0,  24.6,  35.1,  49.8,  154.3,  505.9,1  319.7,1  155.7,1  305.5,1  397.2,1  645.9,1  898.6,2  057.0,2  382.8,2  734.3,4  483.0,6  682.7,8  536.7,9  904.2,12  996.8,14  570.4,16  669.1,17  737.3,17  972.0,18  622.5,12  831.0,13  030.6,14  416.5,13  717.4,14  657.1,15  440.3,15  822.1
Bosnia and Herzegovina,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  108.5,  186.5,  326.9,  450.3,  543.6,  942.3,1  561.3,2  286.5,2  301.6,3  202.6,5  396.8,6  102.7,6  936.4,6  708.9,7  127.3,7  563.8,8  502.9,7  506.8,7  160.9,7  139.9,8  553.4,8  635.4,8  776.9,9  845.8,9  711.0,9  514.9,10  666.8
Iceland,  146.7,  165.4,  123.2,  116.9,  126.7,  129.1,  199.4,  335.9,  466.0,  477.7,  497.5,  686.3,  797.9,1  193.3,2  077.0,4  688.7,7  667.4,16  418.6,9  207.6,8  629.4,11  783.9,12  655.8,10  366.7,7  367.0,7  888.8,7  851.0,9  841.0,10  129.9,8  750.7,8  011.9,7  342.7,9  656.3,9  070.2,9  384.4
Montenegro,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,4  231.2,4  209.4,4  706.6,5  192.1,4  897.3,4  881.0,4  572.0,5  388.5,5  354.6,5  414.3,5  819.0,5  359.8,5  494.5,6  065.7
North Macedonia,  0.0,  0.0,  0.0,  0.0,  77.1,  86.6,  97.8,  155.9,  315.5,  361.6,  539.7,  915.8,1  217.2,1  632.0,2  193.3,2  086.9,2  763.8,3  746.7,4  131.6,4  525.5,4  350.6,4  677.6,4  862.7,5  488.8,4  885.1,4  790.4,4  909.3,5  634.1,6  076.6,6  408.0,7  180.6,7  133.2,7  479.9,8  421.2
Norway,12  391.0,15  871.4,13  647.2,13  620.6,16  282.2,18  800.4,21  001.2,22  485.9,25  618.4,29  429.7,30  265.0,32  669.0,42  781.1,48  967.1,82  654.8,79  135.7,101  140.6,129  546.4,113  024.6,150  387.0,167  931.9,178  567.1,212  414.2,190  832.9,164  413.2,147  817.5,146  909.0,145  373.0,144  117.8,160  251.7,156  757.3,155  149.9,148  337.6,157  159.8
Republic of Moldova,  0.0,  0.0,  16.0,  16.0,  29.0,  97.4,  122.4,  195.5,  253.6,  319.3,  448.8,  549.1,  832.3,  923.5,1  055.2,1  233.9,1  520.3,2  151.0,2  498.8,2  556.3,2  897.3,3  362.9,3  396.6,3  310.5,3  200.5,2  840.8,2  888.5,3  563.2,4  038.5,4  707.9,4  709.6,4  775.8,4  932.7,5  531.3
Russian Federation,  0.0,  0.0,  0.0,  183.0,3  279.5,5  601.2,8  144.7,13  611.9,12  911.9,18  302.7,29  738.0,50  544.0,68  847.0,94  511.0,121  514.0,178  635.0,263  903.0,488  280.0,212  887.0,367  379.0,464  228.0,408  942.0,438  194.0,471  474.7,290  038.6,262  747.9,393  910.4,441  123.4,408  097.4,493  155.8,449  050.5,497  690.4,359  981.6,278  811.5
Serbia,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,19  333.3,20  869.8,22  299.3,24  674.6,26  013.6,31  489.9,29  569.3,29  072.5,30  369.1,37  788.3,40  294.7,43  826.2,52  220.1,52  222.6,53  498.7,60  459.5
