"Annex table 1. FDI inflows, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ukraine,  0.0,  0.0,  200.0,  200.0,  159.0,  267.0,  521.0,  623.0,  743.0,  496.0,  595.0,  792.0,  693.0,1  424.0,1  715.0,7  808.0,5  604.0,9  891.0,10  913.0,4  816.0,6  495.0,7  207.0,8  401.0,4  499.0,  410.0,-  331.0,4  055.0,3  727.0,4  732.0,6  017.0,-  36.0,7  320.0,  557.0,4  247.0
United Kingdom,30  461.1,14  846.2,17  236.7,16  956.7,10  235.3,23  589.6,28  448.0,33  128.4,65  062.0,90  033.8,115  304.0,35  948.8,19  683.1,16  590.1,61  219.7,182  927.9,147  372.4,176  838.6,92  158.3,89  709.1,58  200.3,42  200.4,55  446.1,51  675.9,24  690.2,39  185.7,258  698.7,96  353.8,87  837.5,53  918.3,44  397.4,-71  173.8,14  911.8,-89  247.4
North America,56  004.3,25  680.0,23  945.7,55  394.6,53  299.1,68  026.8,94  088.8,114  923.2,197  237.4,308  120.1,380  802.1,187  124.4,96  612.5,60  628.2,135  381.0,130  464.6,297  429.9,332  772.6,367  918.5,166  303.7,226  449.4,269  531.3,242  145.0,270  761.2,260  738.2,511  461.0,495  474.9,331  723.8,240  895.9,280  473.7,118  889.6,449  817.5,378  526.8,361  271.1
Canada,7  582.3,2  881.0,4  723.7,4  731.6,8  204.1,9  254.8,9  633.8,11  525.2,22  803.4,24  744.1,66  795.1,27  663.4,22  155.5,7  482.2,-  445.0,25  691.6,60  293.9,116  820.6,61  552.5,22  699.7,28  400.4,39  669.3,43  111.0,69  368.2,59  005.2,43  836.0,36  055.9,22  766.8,37  661.9,50  543.7,25  593.6,60  381.5,46  174.8,50  324.1
United States,48  422.0,22  799.0,19  222.0,50  663.0,45  095.0,58  772.0,84  455.0,103  398.0,174  434.0,283  376.0,314  007.0,159  461.0,74  457.0,53  146.0,135  826.0,104  773.0,237  136.0,215  952.0,306  366.0,143  604.0,198  049.0,229  862.0,199  034.0,201  393.0,201  733.0,467  625.0,459  419.0,308  957.0,203  234.0,229  930.0,93  296.0,389  436.0,332  352.0,310  947.0
Other developed economies,12  577.9,8  535.7,10  628.7,7  781.3,9  879.4,18  633.9,14  175.8,18  230.7,18  605.8,30  504.0,42  394.0,22  152.7,32  300.8,20  219.7,65  940.1,-5  809.0,47  333.0,85  853.6,95  994.0,58  090.8,52  195.1,79  579.8,83  371.0,85  595.5,88  292.6,47  544.4,94  914.2,92  711.7,113  560.5,83  589.3,59  772.9,103  277.4,153  548.9,86  632.4
Australia,7  904.4,4  055.3,5  479.4,4  054.9,4  762.6,11  678.8,5  629.7,7  762.5,5  528.9,1  847.2,14  191.0,7  825.4,14  246.2,6  338.9,39  611.7,-28  294.7,26  313.8,41  479.6,46  905.7,31  893.1,36  795.5,58  931.6,59  574.4,56  765.5,58  506.7,29  580.3,48  402.1,46  115.8,67  568.9,38  535.8,14  161.6,23  854.7,63  365.7,29  873.9
Israel,  137.1,  49.6,  303.9,  471.9,  475.2,1  576.6,1  616.8,1  990.4,1  966.7,4  187.2,6  957.4,1  771.7,1  582.8,3  322.4,2  947.4,4  818.3,14  395.9,8  798.3,10  274.7,4  607.0,6  984.9,8  653.4,9  017.5,11  842.3,6  049.1,11  336.5,11  988.3,16  892.8,21  514.6,17  362.7,20  968.9,18  950.1,23  031.5,16  422.4
Japan,1  806.0,1  284.3,2  755.6,  210.4,  888.4,  41.5,  228.1,3  224.6,3  192.6,12  741.3,8  322.7,6  241.6,9  239.3,6  324.0,7  815.4,2  775.8,-6  505.8,22  548.9,24  425.1,11  938.3,-1  251.8,-1  758.3,1  731.5,2  303.7,12  029.8,2  975.5,19  358.8,9  355.6,9  962.7,13  755.4,11  768.2,34  294.0,34  194.4,21  433.4
New Zealand,1  684.8,1  691.4,1  088.2,2  211.8,2  616.6,2  850.0,3  918.6,1  917.5,1  825.8,  941.5,1  346.6,-  250.1,1  751.9,-2  788.5,1  439.7,1  204.7,3  706.2,3  589.4,3  122.9,  700.9,-  61.6,4  238.0,3  504.0,1  862.5,2  436.8,-  308.9,2  978.7,2  722.7,2  236.3,4  296.1,3  997.3,4  116.6,7  902.7,3  567.8
