"Annex table 17. Number of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,-,-,-,-,-,  2,  5,  3,  3,  3,  5,  5,  3,  2,  3,  1,  1,-,-,-,  3
Cameroon,  2,  1,  1,  2,  1,  3,  8,  3,  11,  3,  13,  8,  15,  9,  8,  8,  23,  11,  9,  4,  8
Central African Republic,-,-,-,-,  2,-,-,  1,-,  1,-,  2,  1,-,  1,  1,-,  1,-,-,-
Chad,-,-,-,-,-,  1,  2,-,  3,  3,  1,  5,  1,  3,  1,  1,  1,  1,  2,  1,-
Congo,  1,  1,-,-,  1,  1,  3,-,  2,  8,  8,  5,  5,  2,  3,  2,  1,  1,-,  3,  3
"Congo, Democratic Republic of",  3,  2,  10,  8,  5,  15,  5,  9,  12,  8,  12,  6,  11,  8,  6,  9,  6,  12,  5,  6,  13
Equatorial Guinea,  2,-,-,  3,-,  1,  1,  2,  6,  2,  1,  1,  3,-,  1,-,  1,-,-,-,-
Gabon,-,-,  4,  2,  3,  5,  4,  6,  3,  6,  5,  5,  1,  2,-,  8,  11,  5,  5,  2,  2
Rwanda,-,-,  2,-,  9,  13,  27,  6,  16,  9,  17,  11,  14,  11,  6,  11,  20,  5,  10,  11,  13
São Tomé and Principe,-,-,  1,-,  1,  2,-,-,-,  1,  1,  1,-,-,-,-,-,-,-,-,-
East Africa,  36,  42,  48,  46,  43,  121,  77,  105,  158,  171,  185,  175,  192,  113,  118,  165,  210,  91,  85,  123,  162
Comoros,-,-,-,-,  1,  1,-,-,  1,  1,  1,  1,  1,-,-,-,-,-,-,-,-
Djibouti,-,-,  1,  2,  1,  3,  2,  3,-,  2,  4,  3,  5,  4,  1,  2,  3,  3,  1,  2,  2
Eritrea,  1,  1,  4,  1,-,-,-,-,-,-,-,-,-,  1,-,-,-,-,  1,-,-
Ethiopia,  2,  1,  1,  3,  9,  10,  8,  9,  21,  16,  20,  34,  30,  16,  24,  30,  34,  11,  7,  7,  12
Kenya,  13,  15,  13,  12,  9,  23,  28,  35,  64,  61,  78,  67,  97,  40,  52,  71,  96,  44,  43,  70,  86
Madagascar,  4,  2,  4,  3,  3,  4,  3,-,  2,  8,  5,  6,-,  2,  2,  3,  5,  7,  2,  1,  2
Mauritius,  4,  8,  5,  2,  4,  15,  6,  6,  7,  13,  4,  9,  9,  9,  4,  8,  10,  5,  6,  5,  12
Seychelles,-,  3,  3,-,  2,  2,  1,  1,  1,  1,  2,  4,-,  2,-,  5,  4,  3,  1,  2,  1
Somalia,-,  1,-,  1,-,  2,-,  1,-,  5,  5,  2,-,  3,  1,  4,  3,  1,-,  2,  3
Uganda,  5,  5,  6,  15,  7,  42,  17,  24,  18,  25,  31,  25,  27,  13,  11,  23,  30,  5,  8,  10,  19
United Republic of Tanzania,  7,  6,  11,  7,  7,  19,  12,  26,  44,  39,  35,  24,  23,  23,  23,  19,  25,  12,  16,  24,  25
Southern Africa,  102,  86,  109,  148,  116,  265,  255,  235,  354,  303,  311,  255,  224,  195,  193,  200,  252,  159,  171,  219,  219
Angola,  15,  15,  17,  19,  26,  49,  52,  44,  34,  23,  22,  11,  10,  8,  5,  6,  21,  17,  9,  5,  7
Botswana,  5,  4,  5,  4,  7,  17,  13,  8,  16,  12,  7,  9,  5,  5,  1,  7,  8,  3,  4,  8,  8
Eswatini,-,  2,  2,-,-,  3,  1,-,  9,  1,  1,  3,-,-,-,  1,  1,  1,  1,  1,-
Lesotho,  1,-,-,-,  1,  1,  1,  1,  4,  1,-,-,-,-,  1,  4,  3,  2,  2,-,-
Malawi,-,-,-,-,-,  2,  4,  4,  5,  4,  2,  3,  1,  1,  2,  5,  4,  2,  2,  2,  4
Mozambique,  6,  4,-,  5,  6,  22,  10,  15,  27,  30,  41,  51,  32,  15,  30,  15,  26,  8,  8,  8,  10
Namibia,  4,  4,  7,  5,  6,  14,  11,  6,  16,  11,  15,  11,  8,  4,  23,  9,  12,  6,  5,  10,  10
South Africa,  63,  52,  62,  97,  64,  137,  133,  128,  199,  192,  179,  141,  150,  142,  109,  115,  139,  103,  119,  161,  150
Zambia,  5,  4,  14,  14,  5,  15,  17,  15,  30,  20,  26,  17,  13,  13,  15,  16,  20,  12,  11,  9,  18
Zimbabwe,  3,  1,  2,  4,  1,  5,  13,  14,  14,  9,  18,  9,  5,  7,  7,  22,  18,  5,  10,  15,  12
West Africa,  55,  31,  66,  63,  37,  95,  112,  110,  143,  158,  209,  153,  154,  142,  127,  176,  260,  154,  127,  145,  141
Benin,  1,-,-,-,-,  1,-,  1,  1,  2,  1,  1,  5,-,  4,  4,  6,  3,  5,-,  2
Burkina Faso,  1,  1,  3,-,  1,  2,  1,  3,  4,  1,  5,  3,-,  4,  1,  7,  7,  5,  4,  2,  1
Cabo Verde,-,-,-,-,  1,  2,-,  5,  2,  1,  1,  2,  1,  3,-,  1,  3,  1,-,  1,-
Côte d'Ivoire,  1,-,  2,  2,  2,  5,  9,  9,  8,  13,  21,  16,  29,  34,  22,  36,  43,  25,  16,  22,  16
Gambia,-,-,  1,  2,  1,  3,  3,  3,  1,  1,  1,-,-,  1,  2,  2,  2,-,-,  1,  3
Ghana,  16,  4,  14,  17,  6,  22,  33,  28,  49,  44,  61,  44,  41,  28,  32,  35,  47,  34,  29,  39,  29
Guinea,  1,  3,  2,  3,-,-,  2,  3,  5,  2,  5,  1,  2,  2,  5,  8,  9,  7,  1,  5,  2
Guinea-Bissau,  1,-,-,-,  2,-,  2,-,-,-,-,  3,  1,  2,-,-,-,-,-,-,-
Liberia,-,-,  2,-,-,-,  5,  5,  3,  4,  1,  2,  4,  1,  4,  4,  4,  3,  3,  2,-
Mali,-,-,  3,  3,-,  2,  1,  3,  2,  4,  3,  5,  3,-,  3,  2,  4,  4,  3,  1,  2
Mauritania,  2,  1,  3,  4,  2,  1,-,  4,  2,  4,  1,  5,-,  2,  2,-,  2,  1,  5,  1,  1
Niger,  1,-,-,  1,-,  2,-,  1,  3,-,  1,  2,-,-,  1,  1,  4,  1,  1,  2,-
Nigeria,  24,  18,  32,  23,  19,  40,  43,  34,  52,  67,  79,  60,  53,  51,  39,  64,  80,  54,  44,  50,  61
Senegal,  3,  3,  3,  5,  2,  9,  11,  9,  9,  7,  14,  7,  10,  10,  11,  9,  31,  10,  8,  14,  14
Sierra Leone,  4,  1,  1,  2,-,  5,  1,  2,  2,  6,  8,-,  2,  2,-,  1,  4,-,  1,  4,  7
Togo,-,-,-,  1,  1,  1,  1,-,-,  2,  7,  2,  3,  2,  1,  2,  14,  6,  7,  1,  3
Asia, 3 417, 3 819, 3 555, 4 500, 4 164, 6 064, 5 011, 4 927, 5 506, 4 976, 4 968, 4 803, 4 381, 4 481, 4 112, 5 020, 4 553, 2 760, 3 275, 4 749, 5 798
