"Annex table 6. Value of net cross-border M&As by region/economy of purchaser, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jersey,-  5.8,  41.2,-,-,-,-  13.0,  22.4,  3.1,-,  75.5,-  90.7,  854.3, 1 102.7,-  420.2,-  179.5,- 2 118.3,  138.9,  536.7,-  686.2,  400.7, 1 053.9, 5 192.1, 3 563.9, 2 064.3, 3 628.8,-  135.4, 2 806.9,- 1 922.6,-  240.1, 2 262.3, 1 020.9, 11 187.6, 1 864.8,  475.0
Liechtenstein,  647.3,-,-,-,-,  10.8,  305.3,  135.2,- 1 300.0,-  21.1,  3.5,-  366.7,-,  158.9,-,-,  154.4,  269.9,-,  11.7,-,-,-,-,  158.2,-,-  34.2,  38.5,  243.6,-  60.4,  4.2,  984.5,  417.5,  394.1
Monaco,-,-,  112.8,-,  3.6,-,-,  0.4,-,-  65.5,-,  110.2,-,-  15.9,-  52.5,-  454.8,-  12.6,-,-,  0.9,  100.0,  15.9,-,  2.4,  0.1,  460.0,-,  230.6,  124.3,  251.8,-,  562.7,-,  201.9
Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  3.5,-,-,-,-,-,-,  0.9,-,-,-,  4.3,-,-  3.0,-,-,-
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,  15.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  46.6,-,-
Norway,  944.8,  565.8,  286.6,  122.6,-  426.7, 1 307.4, 3 241.2,  904.1,-  53.7, 1 905.0, 6 232.0, 1 018.2, 6 069.9,-  623.5, 3 148.2, 6 941.1, 9 809.6, 9 162.2, 7 555.6,  132.7,- 3 905.5, 5 660.9, 4 190.9,-  81.7, 5 945.2, 1 131.8, 5 016.8, 1 194.5,  119.5, 5 776.4, 4 097.6, 15 333.2, 12 284.7,- 1 272.3
Republic of Moldova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  14.3,-,-,-,-,-,  4.3,-,  1.6,-
Russian Federation,-,-,  18.1,  6.2,  224.8,  0.3,  241.9,  2.4,  331.2,  885.7,  294.3,  263.1,  461.9,  955.0, 1 984.1, 6 898.5, 2 174.4, 15 496.8, 7 868.9, 7 956.8, 3 875.3, 4 673.4, 8 302.1, 2 313.8, 1 648.3, 4 481.2,  269.2, 13 831.3, 1 528.2,- 4 856.4,  61.1, 1 939.6, 2 359.1,  416.8
San Marino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Serbia,-,-,-,-,-,-,-,-,-,-,-,-,  14.5,-,-,-,- 1 897.8,  852.7,-  6.8,-  174.4,-,  51.2,  0.5,-,-,  16.4,  13.5,-  43.3,-,  16.3,-  492.1,  8.4,-,-
