Corruption Perceptions Index 2023: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Congo,COG,SSA,22,158,1.47,7,20,24,,,21,20,,22,,,15,17,27,,31
Guinea-Bissau,GNB,SSA,22,158,2.93,6,17,27,14,,29,,,22,,,35,20,10,,
Eritrea,ERI,SSA,21,161,4.73,5,13,29,6,,9,,,35,,,,30,27,,
Afghanistan,AFG,AP,20,162,6.24,5,10,30,,,25,,,10,,,,46,2,,15
Burundi,BDI,SSA,20,162,1.80,5,17,23,19,,13,,,22,,,,26,18,,
Chad,TCD,SSA,20,162,2.16,6,16,24,24,,17,,,22,,,,10,18,30,
Comoros,COM,SSA,20,162,5.51,4,11,29,4,,,,,35,,,,22,18,,
Democratic Republic of the Congo,COD,SSA,20,162,1.08,9,18,22,27,,21,20,,22,,,24,10,18,26,13
Myanmar,MMR,AP,20,162,2.29,7,16,24,,,9,20,,22,,,24,34,10,,22
Sudan,SDN,SSA,20,162,3.13,8,15,25,19,,9,20,,22,,,6,49,10,,27
Tajikistan,TJK,ECA,20,162,0.78,5,19,21,,,17,,21,22,,,,20,18,,
Libya,LBY,MENA,18,170,1.83,5,15,21,,,21,20,,10,,,15,22,,,
Turkmenistan,TKM,ECA,18,170,1.45,5,16,20,,,17,20,21,22,,,,12,,,
Equatorial Guinea,GNQ,SSA,17,172,2.57,4,13,21,,,9,20,,22,,,,15,,,
Haiti,HTI,AME,17,172,1.32,6,15,19,,,17,,,22,,,15,19,10,,19
"Korea, North",PRK,AP,17,172,3.78,4,11,23,,,13,,,10,,,15,30,,,
Nicaragua,NIC,AME,17,172,0.96,7,15,19,,,17,20,,22,,,15,12,18,,15
Yemen,YEM,MENA,16,176,1.75,7,13,19,,,13,20,,10,,,15,13,10,29,
South Sudan,SSD,SSA,13,177,1.33,5,11,15,11,,13,,,10,,,,19,10,,
Syria,SYR,MENA,13,177,1.58,5,10,16,,,9,20,,10,,,15,12,,,
Venezuela,VEN,AME,13,177,1.23,8,11,15,,,9,20,,10,22,,13,9,,16,9
Somalia,SOM,SSA,11,180,2.08,6,8,14,4,,9,,,22,,,6,14,10,,
