Corruption Perceptions Index 2022: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2022,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Saint Lucia,LCA,AME,55,45,3.70,3,49,61,,,,,,47,,,,,60,,57
Saint Vincent and the Grenadines,VCT,AME,60,35,4.51,3,53,67,,,,,,59,,,,,52,,69
Sao Tome and Principe,STP,SSA,45,65,4.82,4,37,53,32,,,,,47,,,,59,43,,
Saudi Arabia,SAU,MENA,51,54,4.64,6,43,59,,,33,55,,35,72,,59,52,,,
Senegal,SEN,SSA,43,72,1.40,9,41,45,42,,37,55,,47,,,34,50,43,33,45
Serbia,SRB,ECA,36,101,1.33,8,34,38,,,37,37,47,35,,,32,29,,41,32
Seychelles,SYC,SSA,70,23,1.78,3,67,73,,,,72,,71,,,,66,,,
Sierra Leone,SLE,SSA,34,110,1.73,9,31,37,34,,37,20,,47,,,44,40,35,26,26
Singapore,SGP,AP,83,5,1.30,8,81,85,,,73,90,,83,82,90,85,78,,,83
Slovakia,SVK,WE/EU,53,49,1.72,10,50,56,,53,61,55,56,71,46,,41,63,,35,46
Slovenia,SVN,WE/EU,56,41,0.96,10,54,58,,53,61,55,68,59,48,,53,48,,54,58
Solomon Islands,SLB,AP,42,77,7.67,3,29,55,,,,,,59,,,,33,35,,
Somalia,SOM,SSA,12,180,1.74,6,9,15,11,,9,,,22,,,6,12,10,,
South Africa,ZAF,SSA,43,72,2.01,8,40,46,,,49,55,,47,33,,40,49,,29,42
South Sudan,SSD,SSA,13,178,1.90,5,10,16,11,,13,,,10,,,,22,10,,
Spain,ESP,WE/EU,60,35,2.41,8,56,64,,70,,55,,47,55,,59,76,,51,71
Sri Lanka,LKA,AP,36,101,0.80,7,35,37,,,37,37,,35,,,32,35,,41,33
Sudan,SDN,SSA,22,162,3.47,8,16,28,14,,17,20,,22,,,6,55,10,,28
Suriname,SUR,AME,40,85,5.38,4,31,49,,,,,,35,,,32,59,,,35
Sweden,SWE,WE/EU,83,5,2.20,8,79,87,,88,,90,,83,85,,93,78,,62,86
Switzerland,CHE,WE/EU,82,7,1.85,7,79,85,,88,,90,,71,86,,85,77,,77,
Syria,SYR,MENA,13,178,1.57,5,10,16,,,9,20,,10,,,15,13,,,
Taiwan,TWN,AP,68,25,1.66,8,65,71,,,77,72,,71,70,58,59,62,,74,
